개최예정연도,개최시작예정일자,개최종료예정일자,개최주기,해외전시회명,전시장명,개최국가명,개최도시명,산업분야수,산업분야,참가기업수,협약수행기관수,참가국가수,참가업체수,참관인수,개별참가업체수,담당무역관
2028,2028-05-29,2028-06-01,3년,2028 이탈리아 밀라노 지속 가능 플라스틱 및 재활용 기술 전시회 [Greenplast],FIERA MILANO RHO,이탈리아,밀라노,2,"환경&폐기물, 기계&장비",0,0,0,0,0,0,밀라노무역관
2028,2028-05-29,2028-06-01,3년,2028 이탈리아 밀라노 물류 및 창고 관리 전시회 [INTRALOGISTICA ITALIA],FIERA MILANO RHO,이탈리아,밀라노,2,"기계&장비, 물류&운송",0,0,0,0,0,0,밀라노무역관
2028,2028-05-29,2028-06-01,3년,2028 이탈리아 밀라노 제조공정 및 포장 전시회 [IPACK-IMA],FIERA MILANO RHO,이탈리아,밀라노,2,"기계&장비, 물류&운송",0,0,0,0,0,0,밀라노무역관
2027,2025-12,2025-12,매년,러시아 모스크바 의료기기 전시회,Crocus Expo Exhibition Center,러시아,모스크바,1,기타,0,0,0,0,0,0,모스크바무역관
2027,2025-12,2025-12,격년,2027 중국 상하이 조선 해양 전시회,"Shanghai New International Expo Centre (SNIEC),",중국,상하이,1,기타,0,0,0,0,0,0,상하이무역관
2027,2025-12,2025-12,매년,인도네시아 자카르타 산업 기계 전시회,"Jakarta International Expo, Kemayoran",인도네시아,자카르타,1,기타,0,0,0,0,0,0,자카르타무역관
2027,2025-12,2025-12,매년,미국 시카고 방사선 의료기기 전시회,McCormick Place,미국,시카고,1,기타,0,0,0,0,0,0,시카고무역관
2027,2027-11-24,2027-11-27,매년,2027 인도네시아 자카르타 애완동물 전시회,JIEXPO,인도네시아,자카르타,1,동물&애완용품,0,0,0,0,0,0,자카르타무역관
2027,2027-11-14,2027-11-18,매년,2027 미국 시카고 방사선 의료기기 전시회 [RSNA],McCormick Place,미국,시카고,3,"국가종합전시회, 의료&제약, 기계&장비",0,0,0,0,0,0,시카고무역관
2027,2027-11-14,2027-11-18,매년,2027 미국 시카고 방사선 의료기기 전시회,McCormick Place,미국,시카고,1,기타,0,0,0,0,0,0,시카고무역관
2027,2027-11-14,2027-11-18,매년,2027 미국 시카고 방사선 의료기기 전시회,McCormick Place,미국,시카고,1,기타,0,0,0,0,0,0,시카고무역관
2027,2027-11-12,2027-11-13,매년,2027 미국 포틀랜드 춘계 아웃도어스포츠 기능성 섬유 박람회,Oregon Convention Center,미국,포틀랜드,1,기타,0,0,0,0,0,0,실리콘밸리무역관
2027,2027-11-10,2027-11-13,기타,베트남 호치민 식품산업 전시회,SECC (Saigon Exhibition and Convention Center),베트남,호치민,1,식품&음료,0,0,0,0,0,0,호치민무역관
2027,2027-11-04,2027-11-07,매년,2027 이탈리아 리미니 자원 에너지 전시회 [ECOMONDO],"리미니, Fiera di Rimini",이탈리아,리미니,2,"전력&에너지, 환경&폐기물",0,0,0,0,0,0,밀라노무역관
2027,2027-11-02,2027-11-05,격년,독일 뒤셀도르프 산업 안전 전시회,뒤셀도르프 상설 전시장 Messe Duesseldorf,독일,뒤셀도르프,1,기계&장비,0,0,0,0,0,0,프랑크푸르트무역관
2027,2027-11-01,2027-11-30,격년,2027 이탈리아 밀라노 보안 전시회 [SICUREZZA],"밀라노, Fiera Milano",이탈리아,밀라노,3,"건축&기자재, 정보통신기술(IT)&S/W, 기계&장비",0,0,0,0,0,0,밀라노무역관
2027,2027-11-01,2027-11-30,격년,2027 이탈리아 밀라노 첨단 도시 및 건축 기술 박람회 [Smart Building Expo],"밀라노, Fiera Milano",이탈리아,밀라노,2,"건축&기자재, 환경&폐기물",0,0,0,0,0,0,밀라노무역관
2027,2027-11-01,2027-11-30,격년,2027 이탈리아 밀라노 건축 전시회 [MADE expo],"밀라노, Fiera Milano",이탈리아,밀라노,1,건축&기자재,0,0,0,0,0,0,밀라노무역관
2027,2027-11-01,2027-11-30,매년,중국 상하이 자동차부품 전시회,NECC Shanghai,중국,상하이,1,기타,0,0,0,0,0,0,상하이무역관
