번호,기업명,사업자번호,진단일,GCL점수,등급,유선컨설팅 신청여부,회원여부
4273,대한무역투자진흥공사,1*********,2025-11-07,100,A+,N,회원
4272,(주)우리아이들플러스,1*********,2025-11-05,59.49,C0,N,회원
4271,(주)스튜디오올,2*********,2025-10-30,66.3,B-,N,회원
4270,(주)성실엔지니어링,1*********,2025-10-28,64.74,C+,Y,회원
4269,(주)필코코스팜,1*********,2025-10-27,57.33,C-,N,회원
4268,(주)골드거래소,1*********,2025-10-22,61.9,C0,Y,회원
4267,서프컴퍼니,4*********,2025-10-22,54.13,D,N,회원
4266,블루웨이코퍼레이션,4*********,2025-10-15,69.88,B0,N,회원
4265,(주)이웃닷컴,1*********,2025-10-15,65.44,B-,Y,회원
4264,대한무역투자진흥공사,1*********,2025-10-15,100,A+,N,회원
4263,(주)지티웨이브,1*********,2025-10-13,68.66,B0,N,회원
4262,하이테크판넬(주),3*********,2025-10-10,64.41,C+,N,회원
4261,(주)우담라이팅,1*********,2025-09-29,53.89,D,N,회원
4260,(주)해우기술,6*********,2025-09-25,56.23,C-,N,회원
4259,(주)메드스타,1*********,2025-09-18,68.58,B0,N,회원
4258,라미랩 주식회사,7*********,2025-09-11,72.56,B+,Y,회원
4257,질마재푸드영농조합법인,4*********,2025-09-03,55.52,C-,Y,회원
4256,조일성업전기,1*********,2025-09-01,49.19,D,N,회원
4255,(주)로드맵마케팅컨설팅,1*********,2025-08-26,82.98,A+,Y,회원
4254,(주)정석산업,4*********,2025-08-22,46.73,D,N,회원
4253,모라포이노베이션스,3*********,2025-08-18,69.87,B0,Y,회원
4252,에코웨이브,1*********,2025-08-14,54.67,D,N,회원
4251,창영메디칼(주),7*********,2025-08-13,64.69,C+,N,회원
4250,(주)송연에스와이,4*********,2025-08-05,43.11,D,N,회원
4249,(주)모야인터내셔널,5*********,2025-08-04,68.12,B0,N,회원
4248,UB,6*********,2025-08-04,82.16,A+,N,회원
4247,스마트하다(주),6*********,2025-07-24,68.3,B0,Y,회원
4246,패션에이블,1*********,2025-07-18,45.44,D,Y,회원
4245,대한무역투자진흥공사,1*********,2025-07-13,52.84,D,N,회원
4244,대상 농업회사법인(주),7*********,2025-07-11,74.27,B+,Y,회원
4243,평창오미자영농조합법인,5*********,2025-07-10,48.19,D,Y,회원
4242,(주)포럭스인터내셔널,3*********,2025-07-09,70.07,B0,N,회원
4241,주식회사 콘텐츠그룹 아베끄,1*********,2025-07-09,80.83,A0,Y,회원
4240,(주)크리에이터버스,6*********,2025-07-08,67.17,B-,N,회원
4239,블루웨이코퍼레이션,4*********,2025-07-07,82.15,A+,N,회원
4238,(주)100케이션,4*********,2025-07-07,70.59,B0,N,회원
4237,(주)인테그리틱스,7*********,2025-07-07,82.42,A+,Y,회원
4236,(주)제이엔지,7*********,2025-07-07,52.71,D,N,회원
4235,한백종합상사,2*********,2025-07-07,76.26,A-,N,회원
4234,대상 농업회사법인(주),7*********,2025-07-07,74.4,B+,Y,회원
4233,(주)단미푸드,5*********,2025-07-07,57.17,C-,N,회원
4232,(주)세바바이오텍,2*********,2025-07-07,73.4,B+,Y,회원
4231,(주)소연메디칼,6*********,2025-07-07,72.54,B+,N,회원
4230,주식회사 콘텐츠그룹 아베끄,1*********,2025-07-06,67.96,B-,Y,회원
4229,농업회사법인주식회사양구친환경,2*********,2025-07-06,59.96,C0,N,회원
4228,(주)로지앤엘,1*********,2025-07-04,52.47,D,N,회원
4227,(주)미래경영연구소,5*********,2025-07-02,62.06,C+,N,회원
4226,디에프에이치코리아(주),7*********,2025-07-01,77.19,A-,Y,회원
4225,(주)더프레시에프앤비,1*********,2025-07-01,80.94,A0,Y,회원
4224,(주)해피시스,8*********,2025-06-30,59.72,C0,N,회원
4223,(주)레드버튼,2*********,2025-06-30,59.89,C0,N,회원
