"운영기관","권역명","국가명","도시명"
"KOTRA","CIS지역","러시아연방","노보시비르스크"
"KOTRA","CIS지역","러시아연방","모스크바"
"KOTRA","CIS지역","러시아연방","블라디보스톡"
"KOTRA","CIS지역","러시아연방","상트페테르부르크"
"KOTRA","CIS지역","몽골","울란바토르"
"KOTRA","CIS지역","벨라루스","민스크"
"KOTRA","CIS지역","아제르바이잔","바쿠"
"KOTRA","CIS지역","우즈베키스탄","타슈켄트"
"KOTRA","CIS지역","우크라이나","키이우"
"KOTRA","CIS지역","조지아","트빌리시"
"KOTRA","CIS지역","카자흐스탄","알마티"
"KOTRA","CIS지역","키르키즈스탄","비슈케크"
"KOTRA","CIS지역","타지키스탄","두샨베"
"KOTRA","동남아대양주지역","네팔","카트만두"
"KOTRA","동남아대양주지역","뉴질랜드","오클랜드"
"KOTRA","동남아대양주지역","뉴질랜드","크라이스트처치"
"KOTRA","동남아대양주지역","라오스","비엔티안"
"KOTRA","동남아대양주지역","말레이시아","쿠알라룸푸르"
"KOTRA","동남아대양주지역","미얀마","양곤"
"KOTRA","동남아대양주지역","베트남","다낭"
"KOTRA","동남아대양주지역","베트남","하노이"
"KOTRA","동남아대양주지역","베트남","호치민"
"KOTRA","동남아대양주지역","싱가포르","싱가포르"
"KOTRA","동남아대양주지역","인도네시아","수라바야"
"KOTRA","동남아대양주지역","인도네시아","자카르타"
"KOTRA","동남아대양주지역","캄보디아","프놈펜"
"KOTRA","동남아대양주지역","태국","방콕"
"KOTRA","동남아대양주지역","필리핀","마닐라"
"KOTRA","동남아대양주지역","호주","멜버른"
"KOTRA","동남아대양주지역","호주","브리즈번"
"KOTRA","동남아대양주지역","호주","시드니"
"KOTRA","동남아대양주지역","호주","태즈메이니아"
"KOTRA","동남아대양주지역","호주","퍼스"
"KOTRA","북미","미국","뉴욕"
"KOTRA","북미","미국","뉴저지"
"KOTRA","북미","미국","달라스"
"KOTRA","북미","미국","덴버"
"KOTRA","북미","미국","디트로이트"
"KOTRA","북미","미국","로스앤젤레스"
"KOTRA","북미","미국","마이애미"
"KOTRA","북미","미국","버지니아"
"KOTRA","북미","미국","보스턴"
"KOTRA","북미","미국","샌프란시스코"
"KOTRA","북미","미국","시카고"
"KOTRA","북미","미국","실리콘밸리"
"KOTRA","북미","미국","애틀랜타"
"KOTRA","북미","미국","워싱턴"
"KOTRA","북미","미국","일리노이"
"KOTRA","북미","캐나다","밴쿠버"
"KOTRA","북미","캐나다","토론토"
"KOTRA","서남아","방글라데시","다카"
"KOTRA","서남아","스리랑카","콜롬보"
"KOTRA","서남아","인도","뉴델리"
"KOTRA","서남아","인도","뭄바이"
"KOTRA","서남아","인도","벵갈루루"
"KOTRA","서남아","인도","암다바드"
"KOTRA","서남아","인도","첸나이"
"KOTRA","서남아","인도","콜카타"
"KOTRA","서남아","인도","푸네"
"KOTRA","서남아","파키스탄","카라치"
"KOTRA","아프리카","가나","아크라"
"KOTRA","아프리카","가나","테마"
"KOTRA","아프리카","나이지리아","라고스"
"KOTRA","아프리카","남아프리카공화국","요하네스버그"
"KOTRA","아프리카","르완다","키갈리"
"KOTRA","아프리카","모잠비크","마푸투"
"KOTRA","아프리카","수단","카르툼"
"KOTRA","아프리카","에티오피아","아디스아바바"
"KOTRA","아프리카","케냐","나이로비"
"KOTRA","아프리카","코트디부아르","아비장"
"KOTRA","아프리카","콩고민주공화국","킨샤사"
"KOTRA","아프리카","탄자니아","다레살람"
"KOTRA","유럽","그리스","아테네"
"KOTRA","유럽","네덜란드","암스테르담"
"KOTRA","유럽","노르웨이","오슬로"
"KOTRA","유럽","덴마크","코펜하겐"
"KOTRA","유럽","독일","뮌헨"
"KOTRA","유럽","독일","보훔"
"KOTRA","유럽","독일","프랑크푸르트"
"KOTRA","유럽","독일","함부르크"
"KOTRA","유럽","루마니아","부쿠레슈티"
"KOTRA","유럽","루마니아","클루지나포카"
"KOTRA","유럽","마케도니아","스코페"
"KOTRA","유럽","벨기에","브뤼셀"
"KOTRA","유럽","불가리아","소피아"
"KOTRA","유럽","세르비아","베오그라드"
"KOTRA","유럽","스웨덴","스톡홀름"
"KOTRA","유럽","스위스","취리히"
"KOTRA","유럽","스페인","마드리드"
"KOTRA","유럽","스페인","바르셀로나"
"KOTRA","유럽","슬로바키아","브라티슬라바"
"KOTRA","유럽","영국","런던"
"KOTRA","유럽","오스트리아","빈"
"KOTRA","유럽","이탈리아","밀라노"
"KOTRA","유럽","체코","프라하"
"KOTRA","유럽","크로아티아","자그레브"
"KOTRA","유럽","포르투갈","리스본"
"KOTRA","유럽","폴란드","바르샤바"
"KOTRA","유럽","프랑스","리옹"
"KOTRA","유럽","프랑스","파리"
"KOTRA","유럽","핀란드","헬싱키"
"KOTRA","유럽","헝가리","부다페스트"
"KOTRA","일본","일본","나고야"
"KOTRA","일본","일본","도쿄"
"KOTRA","일본","일본","오사카"
"KOTRA","일본","일본","지바"
"KOTRA","일본","일본","후쿠오카"
"KOTRA","중국지역","대만","타이베이"
"KOTRA","중국지역","중국","광저우"
"KOTRA","중국지역","중국","난징"
"KOTRA","중국지역","중국","다롄"
"KOTRA","중국지역","중국","단둥"
"KOTRA","중국지역","중국","베이징"
"KOTRA","중국지역","중국","산허"
"KOTRA","중국지역","중국","상하이"
"KOTRA","중국지역","중국","샤먼"
"KOTRA","중국지역","중국","선양"
"KOTRA","중국지역","중국","선전"
"KOTRA","중국지역","중국","시안"
"KOTRA","중국지역","중국","옌지"
"KOTRA","중국지역","중국","옌타이"
"KOTRA","중국지역","중국","우한"
"KOTRA","중국지역","중국","위해"
"KOTRA","중국지역","중국","이우"
"KOTRA","중국지역","중국","정저우"
"KOTRA","중국지역","중국","창사"
"KOTRA","중국지역","중국","창춘"
"KOTRA","중국지역","중국","청두"
"KOTRA","중국지역","중국","충칭"
"KOTRA","중국지역","중국","칭다오"
"KOTRA","중국지역","중국","톈진"
"KOTRA","중국지역","중국","하얼빈"
"KOTRA","중국지역","중국","항저우"
"KOTRA","중국지역","중국","홍콩"
"KOTRA","중국지역","중국","후룬베이얼"
"KOTRA","중남미","과테말라","과테말라"
"KOTRA","중남미","도미니카공화국","산토도밍고"
"KOTRA","중남미","멕시코","멕시코시티"
"KOTRA","중남미","멕시코","티후아나"
"KOTRA","중남미","베네수엘라","카라카스"
"KOTRA","중남미","브라질","리우데자네이루"
"KOTRA","중남미","브라질","상파울루"
"KOTRA","중남미","브라질","포르탈레자"
"KOTRA","중남미","아르헨티나","부에노스아이레스"
"KOTRA","중남미","에콰도르","키토"
"KOTRA","중남미","우루과이","몬테비데오"
"KOTRA","중남미","칠레","산티아고"
"KOTRA","중남미","콜롬비아","보고타"
"KOTRA","중남미","쿠바","아바나"
"KOTRA","중남미","파나마","파나마"
"KOTRA","중남미","파라과이","시우다드델에스테"
"KOTRA","중남미","파라과이","아순시온"
"KOTRA","중남미","페루","리마"
"KOTRA","중동","리비아","트리폴리"
"KOTRA","중동","모로코","카사블랑카"
"KOTRA","중동","사우디아라비아","리야드"
"KOTRA","중동","시리아","다마스커스"
"KOTRA","중동","아랍에미리트","두바이"
"KOTRA","중동","아랍에미리트","아부다비"
"KOTRA","중동","알제리","알제"
"KOTRA","중동","오만","무스카트"
"KOTRA","중동","요르단","암만"
"KOTRA","중동","이라크","바그다드"
"KOTRA","중동","이란","테헤란"
"KOTRA","중동","이스라엘","텔아비브"
"KOTRA","중동","이집트","카이로"
"KOTRA","중동","카타르","도하"
"KOTRA","중동","쿠웨이트","쿠웨이트"
"KOTRA","중동","튀르키예","이스탄불"
"OKTA","CIS지역","러시아연방","노보시비르스크"
"OKTA","CIS지역","러시아연방","니즈니 노브고로드"
"OKTA","CIS지역","러시아연방","모스크바"
"OKTA","CIS지역","러시아연방","블라디보스톡"
"OKTA","CIS지역","러시아연방","상트페테르부르크"
"OKTA","CIS지역","러시아연방","첼라빈스크"
"OKTA","CIS지역","러시아연방","카잔"
"OKTA","CIS지역","러시아연방","하바롭스크"
"OKTA","CIS지역","몽골","울란바토르"
"OKTA","CIS지역","벨라루스","민스크"
"OKTA","CIS지역","아제르바이잔","바쿠"
"OKTA","CIS지역","우즈베키스탄","타슈켄트"
"OKTA","CIS지역","우크라이나","키이우"
"OKTA","CIS지역","조지아","악토베"
"OKTA","CIS지역","조지아","트빌리시"
"OKTA","CIS지역","카자흐스탄","알마티"
"OKTA","CIS지역","키르키즈스탄","비슈케크"
"OKTA","CIS지역","타지키스탄","두샨베"
"OKTA","CIS지역","투르크메니스탄","아슈가바트"
"OKTA","동남아대양주지역","네팔","카트만두"
"OKTA","동남아대양주지역","뉴질랜드","오클랜드"
"OKTA","동남아대양주지역","뉴질랜드","크라이스트처치"
"OKTA","동남아대양주지역","라오스","비엔티안"
"OKTA","동남아대양주지역","라오스","조지타운"
"OKTA","동남아대양주지역","라오스","조호바루"
"OKTA","동남아대양주지역","말레이시아","쿠알라룸푸르"
"OKTA","동남아대양주지역","미얀마","양곤"
"OKTA","동남아대양주지역","베트남","달랏"
"OKTA","동남아대양주지역","베트남","하노이"
"OKTA","동남아대양주지역","베트남","호치민"
"OKTA","동남아대양주지역","싱가포르","싱가포르"
"OKTA","동남아대양주지역","인도네시아","수라바야"
"OKTA","동남아대양주지역","인도네시아","스마랑"
"OKTA","동남아대양주지역","인도네시아","자카르타"
"OKTA","동남아대양주지역","캄보디아","프놈펜"
"OKTA","동남아대양주지역","태국","방콕"
"OKTA","동남아대양주지역","필리핀","마닐라"
"OKTA","동남아대양주지역","필리핀","세부"
"OKTA","동남아대양주지역","호주","멜버른"
"OKTA","동남아대양주지역","호주","브리즈번"
"OKTA","동남아대양주지역","호주","시드니"
"OKTA","동남아대양주지역","호주","애들레이드"
"OKTA","동남아대양주지역","호주","태즈메이니아"
"OKTA","동남아대양주지역","호주","퍼스"
"OKTA","북미","미국","내슈빌"
"OKTA","북미","미국","노퍽"
"OKTA","북미","미국","뉴욕"
"OKTA","북미","미국","뉴저지"
"OKTA","북미","미국","달라스"
"OKTA","북미","미국","덴버"
"OKTA","북미","미국","디트로이트"
"OKTA","북미","미국","로스앤젤레스"
"OKTA","북미","미국","롤리"
"OKTA","북미","미국","리치먼드"
"OKTA","북미","미국","마이애미"
"OKTA","북미","미국","버겐필드"
"OKTA","북미","미국","버지니아"
"OKTA","북미","미국","보스턴"
"OKTA","북미","미국","산후안"
"OKTA","북미","미국","샌디에고"
"OKTA","북미","미국","샌프란시스코"
"OKTA","북미","미국","시애틀"
"OKTA","북미","미국","시카고"
"OKTA","북미","미국","실리콘밸리"
"OKTA","북미","미국","아나폴리스"
"OKTA","북미","미국","애틀랜타"
"OKTA","북미","미국","워싱턴"
"OKTA","북미","미국","일리노이"
"OKTA","북미","미국","탬파"
"OKTA","북미","미국","포트리"
"OKTA","북미","미국","휴스턴"
"OKTA","북미","캐나다","몬트리올"
"OKTA","북미","캐나다","밴쿠버"
"OKTA","북미","캐나다","위니팩"
"OKTA","북미","캐나다","윈저"
"OKTA","북미","캐나다","캘거리"
"OKTA","북미","캐나다","토론토"
"OKTA","서남아","방글라데시","다카"
"OKTA","서남아","스리랑카","콜롬보"
"OKTA","서남아","인도","뉴델리"
"OKTA","서남아","인도","델리"
"OKTA","서남아","인도","뭄바이"
"OKTA","서남아","인도","벵갈루루"
"OKTA","서남아","인도","스리퍼룸부더"
"OKTA","서남아","인도","아마라바티"
"OKTA","서남아","인도","첸나이"
"OKTA","서남아","인도","푸네"
"OKTA","서남아","인도","하이데라바드"
"OKTA","서남아","파키스탄","카라치"
"OKTA","아프리카","가나","아크라"
"OKTA","아프리카","가나","테마"
"OKTA","아프리카","나이지리아","라고스"
"OKTA","아프리카","남아프리카공화국","요하네스버그"
"OKTA","아프리카","남아프리카공화국","케이프타운"
"OKTA","아프리카","르완다","키갈리"
"OKTA","아프리카","모잠비크","마푸투"
"OKTA","아프리카","보츠와나","가보로네"
"OKTA","아프리카","수단","카르툼"
"OKTA","아프리카","에티오피아","아디스아바바"
"OKTA","아프리카","케냐","나이로비"
"OKTA","아프리카","케냐","캄팔라"
"OKTA","아프리카","코트디부아르","아비장"
"OKTA","아프리카","콩고민주공화국","킨샤사"
"OKTA","아프리카","탄자니아","다레살람"
"OKTA","유럽","그리스","아테네"
"OKTA","유럽","네덜란드","암스테르담"
"OKTA","유럽","네덜란드","에인트호번"
