거래처구분코드,국내_외 구분,기본주소,영문 우편번호,영문시군구,영문도시,국가코드,우편번호
직접등록,국내,경기 김포시 태장로 789,10090,Gyeonggi-do,Gimpo-si,KR,10090
직접등록,국외,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,PE,데이터 미집계
직접등록,국내,서울 강남구 삼성로85길 32,6194,Seoul,Gangnam-gu,KR,6194
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국내,경기 수원시 영통구 동수원로 539-17,16503,Gyeonggi-do,Suwon-si,KR,16503
직접등록,국내,경기 양주시 백석읍 월암로 7,11517,Gyeonggi-do,Yangju-si,KR,11517
직접등록,국내,울산 중구 종가로 15,44412,Ulsan,Jung-gu,KR,44412
직접등록,국내,서울 영등포구 국회대로 657,7229,Seoul,Yeongdeungpo-gu,KR,7229
직접등록,국내,경기 안양시 동안구 흥안대로427번길 38,14059,Gyeonggi-do,Anyang-si,KR,14059
직접등록,국외,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,MT,데이터 미집계
직접등록,국내,서울 중구 을지로 100,4551,Seoul,Jung-gu,KR,4551
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국내,경기 광주시 목동길36번길 13,12770,Gyeonggi-do,Gwangju-si,KR,12770
직접등록,국내,경기 수원시 영통구 영통로 145,16688,Gyeonggi-do,Suwon-si,KR,16688
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국내,세종특별자치시 한누리대로 422,30117,Sejong-si,Hannuri-daero,KR,30117
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국외,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,MN,데이터 미집계
직접등록,국내,경남 진주시 모덕로47번길 1-6,52786,Gyeongsangnam-do,Jinju-si,KR,52786
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국외,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,SG,데이터 미집계
직접등록,국외,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,CA,데이터 미집계
직접등록,국외,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,CN,데이터 미집계
직접등록,국외,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,HK,데이터 미집계
직접등록,국내,부산 강서구 녹산산업북로 326,46755,Busan,Gangseo-gu,KR,46755
직접등록,국내,인천 남동구 남동서로144번길 65,21696,Incheon,Namdong-gu,KR,21696
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국내,부산 남구 신선로 365,48547,Busan,Nam-gu,KR,48547
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국내,경기 고양시 덕양구 고양시청로 10,10460,Gyeonggi-do,Goyang-si,KR,10460
직접등록,국내,서울 서초구 반포대로 217,6578,Seoul,Seocho-gu,KR,6578
직접등록,국내,서울 마포구 상암산로 34,3909,Seoul,Mapo-gu,KR,3909
직접등록,국내,경기 김포시 유현로 200,10113,Gyeonggi-do,Gimpo-si,KR,10113
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국내,경기 평택시 청북읍 토진2길 10,17797,Gyeonggi-do,Pyeongtaek-si,KR,17797
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국내,서울 금천구 벚꽃로 298,8510,Seoul,Geumcheon-gu,KR,8510
직접등록,국내,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KR,데이터 미집계
직접등록,국외,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,TW,데이터 미집계
직접등록,국외,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,JP,데이터 미집계
직접등록,국내,전남 순천시 해룡면 율산길 126,58005,Jeollanam-do,Suncheon-si,KR,58005
직접등록,국내,충북 청주시 흥덕구 오송읍 오송생명2로 125,28161,Chungcheongbuk-do,Cheongju-si,KR,28161
직접등록,국내,경북 경산시 와촌면 용천길 57,38422,Gyeongsangbuk-do,Gyeongsan-si,KR,38422
직접등록,국내,경기 파주시 운정4길 16,10909,Gyeonggi-do,Paju-si,KR,10909
직접등록,국내,부산 연제구 해맞이로99번길 6,47531,Busan,Yeonje-gu,KR,47531
직접등록,국내,경남 김해시 삼안로60번길 11-10,50827,Gyeongsangnam-do,Gimhae-si,KR,50827
직접등록,국외,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,IR,데이터 미집계
직접등록,국외,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,HK,데이터 미집계
직접등록,국외,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,VN,데이터 미집계
직접등록,국외,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,AU,데이터 미집계
직접등록,국외,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,KW,데이터 미집계
직접등록,국외,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,TH,데이터 미집계
직접등록,국외,데이터 미집계,데이터 미집계,데이터 미집계,데이터 미집계,ID,데이터 미집계
직접등록,국내,광주 광산구 하남산단천변좌로 119,62211,Gwangju,Gwangsan-gu,KR,62211
직접등록,국내,대구 달성군 다사읍 세천북로8길 5-14,42922,Daegu,Dalseong-gun,KR,42922
직접등록,국내,전남 담양군 창평면 돌담길 9-7,57389,Jeollanam-do,Damyang-gun,KR,57389
직접등록,국내,광주 서구 천변좌로 268,61925,Gwangju,Seo-gu,KR,61925
